method,alpha,epsilon,progress_pct,verified_pct,genuine_verified_pct,n_timeout,n_semantic_unresolved,alpha_label
Baseline,,0.01,0,0.0,0.0,5.0,0.0,
Compressed L0L6 c=0.95,0.95,0.01,0,0.0,0.0,5.0,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.01,0,0.0,0.0,5.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.01,0,0.0,0.0,5.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.01,0,0.0,0.0,5.0,0.0,0.99
Implication L4L5,0.95,0.01,0,0.0,0.0,5.0,0.0,0.95
Implication L4L5,0.99,0.01,0,0.0,0.0,5.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.01,0,0.0,0.0,5.0,0.0,0.95
Implication L4L5+L5L6,0.99,0.01,0,0.0,0.0,5.0,0.0,0.99
Unary ON/OFF,0.95,0.01,0,25.0,15.0,0.0,1.0,0.95
Unary ON/OFF,0.99,0.01,0,25.0,25.0,0.0,0.0,0.99
Baseline,,0.01,25,72.5,72.5,5.5,0.0,
Compressed L0L6 c=0.95,0.95,0.01,25,77.5,70.0,4.5,1.5,0.95
Compressed L0L6 c=0.95,0.99,0.01,25,80.0,75.0,4.0,1.0,0.99
Compressed L0L6 c=0.99,0.95,0.01,25,72.5,72.5,5.5,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.01,25,72.5,72.5,5.5,0.0,0.99
Implication L4L5,0.95,0.01,25,80.0,50.0,4.0,5.5,0.95
Implication L4L5,0.99,0.01,25,72.5,65.0,5.5,1.5,0.99
Implication L4L5+L5L6,0.95,0.01,25,85.0,42.5,3.0,8.0,0.95
Implication L4L5+L5L6,0.99,0.01,25,77.5,62.5,4.5,3.0,0.99
Unary ON/OFF,0.95,0.01,25,97.5,45.0,0.5,4.5,0.95
Unary ON/OFF,0.99,0.01,25,80.0,37.5,4.0,7.5,0.99
Baseline,,0.01,50,77.5,77.5,4.5,0.0,
Compressed L0L6 c=0.95,0.95,0.01,50,82.5,80.0,3.5,0.5,0.95
Compressed L0L6 c=0.95,0.99,0.01,50,85.0,85.0,3.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.01,50,77.5,77.5,4.5,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.01,50,77.5,77.5,4.5,0.0,0.99
Implication L4L5,0.95,0.01,50,85.0,62.5,3.0,4.5,0.95
Implication L4L5,0.99,0.01,50,82.5,77.5,3.5,1.0,0.99
Implication L4L5+L5L6,0.95,0.01,50,87.5,55.0,2.5,6.0,0.95
Implication L4L5+L5L6,0.99,0.01,50,87.5,72.5,2.5,3.0,0.99
Unary ON/OFF,0.95,0.01,50,100.0,55.0,0.0,1.0,0.95
Unary ON/OFF,0.99,0.01,50,95.0,77.5,1.0,3.0,0.99
Baseline,,0.01,75,87.5,87.5,2.5,0.0,
Compressed L0L6 c=0.95,0.95,0.01,75,95.0,92.5,1.0,0.5,0.95
Compressed L0L6 c=0.95,0.99,0.01,75,95.0,95.0,1.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.01,75,90.0,90.0,2.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.01,75,90.0,90.0,2.0,0.0,0.99
Implication L4L5,0.95,0.01,75,95.0,85.0,1.0,1.5,0.95
Implication L4L5,0.99,0.01,75,95.0,75.0,1.0,4.0,0.99
Implication L4L5+L5L6,0.95,0.01,75,97.5,82.5,0.5,2.5,0.95
Implication L4L5+L5L6,0.99,0.01,75,95.0,67.5,1.0,5.5,0.99
Unary ON/OFF,0.95,0.01,75,100.0,40.0,0.0,4.5,0.95
Unary ON/OFF,0.99,0.01,75,100.0,80.0,0.0,4.0,0.99
Baseline,,0.01,100,87.5,87.5,2.5,0.0,
Compressed L0L6 c=0.95,0.95,0.01,100,92.5,87.5,1.5,1.0,0.95
Compressed L0L6 c=0.95,0.99,0.01,100,95.0,95.0,1.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.01,100,95.0,95.0,1.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.01,100,95.0,95.0,1.0,0.0,0.99
Implication L4L5,0.95,0.01,100,95.0,77.5,1.0,3.0,0.95
Implication L4L5,0.99,0.01,100,95.0,77.5,1.0,3.0,0.99
Implication L4L5+L5L6,0.95,0.01,100,95.0,67.5,1.0,5.0,0.95
Implication L4L5+L5L6,0.99,0.01,100,95.0,70.0,1.0,5.0,0.99
Unary ON/OFF,0.95,0.01,100,100.0,45.0,0.0,3.5,0.95
Unary ON/OFF,0.99,0.01,100,97.5,80.0,0.5,3.5,0.99
Baseline,,0.02,0,0.0,0.0,5.0,0.0,
Compressed L0L6 c=0.95,0.95,0.02,0,0.0,0.0,5.0,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,0,0.0,0.0,5.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,0,0.0,0.0,5.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,0,0.0,0.0,5.0,0.0,0.99
Implication L4L5,0.95,0.02,0,0.0,0.0,5.0,0.0,0.95
Implication L4L5,0.99,0.02,0,0.0,0.0,5.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,0,0.0,0.0,5.0,0.0,0.95
Implication L4L5+L5L6,0.99,0.02,0,0.0,0.0,5.0,0.0,0.99
Unary ON/OFF,0.95,0.02,0,0.0,0.0,5.0,0.0,0.95
Unary ON/OFF,0.99,0.02,0,0.0,0.0,5.0,0.0,0.99
Baseline,,0.02,25,2.5,2.5,19.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,25,2.5,2.5,19.5,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,25,2.5,2.5,19.5,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,25,0.0,0.0,20.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,25,0.0,0.0,20.0,0.0,0.99
Implication L4L5,0.95,0.02,25,2.5,2.5,19.5,0.0,0.95
Implication L4L5,0.99,0.02,25,2.5,2.5,19.5,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,25,2.5,2.5,19.5,0.0,0.95
Implication L4L5+L5L6,0.99,0.02,25,2.5,2.5,19.5,0.0,0.99
Unary ON/OFF,0.95,0.02,25,30.0,22.5,14.0,0.0,0.95
Unary ON/OFF,0.99,0.02,25,7.5,7.5,18.0,0.0,0.99
Baseline,,0.02,50,15.0,15.0,16.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,50,10.0,10.0,18.0,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,50,10.0,10.0,18.0,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Implication L4L5,0.95,0.02,50,12.5,12.5,17.5,0.0,0.95
Implication L4L5,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,50,15.0,10.0,17.0,1.0,0.95
Implication L4L5+L5L6,0.99,0.02,50,10.0,10.0,18.0,0.0,0.99
Unary ON/OFF,0.95,0.02,50,72.5,47.5,5.5,1.5,0.95
Unary ON/OFF,0.99,0.02,50,35.0,35.0,13.0,0.0,0.99
Baseline,,0.02,75,17.5,17.5,15.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,75,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,75,17.5,17.5,16.5,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,75,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,75,17.5,17.5,16.5,0.0,0.99
Implication L4L5,0.95,0.02,75,20.0,17.5,16.0,0.5,0.95
Implication L4L5,0.99,0.02,75,20.0,20.0,16.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,75,20.0,15.0,16.0,1.0,0.95
Implication L4L5+L5L6,0.99,0.02,75,20.0,20.0,16.0,0.0,0.99
Unary ON/OFF,0.95,0.02,75,97.5,75.0,0.5,1.5,0.95
Unary ON/OFF,0.99,0.02,75,50.0,50.0,10.0,0.0,0.99
Baseline,,0.02,100,17.5,17.5,16.5,0.0,
Compressed L0L6 c=0.95,0.95,0.02,100,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.95,0.99,0.02,100,17.5,17.5,16.5,0.0,0.99
Compressed L0L6 c=0.99,0.95,0.02,100,17.5,17.5,16.5,0.0,0.95
Compressed L0L6 c=0.99,0.99,0.02,100,17.5,17.5,16.5,0.0,0.99
Implication L4L5,0.95,0.02,100,20.0,17.5,16.0,0.5,0.95
Implication L4L5,0.99,0.02,100,17.5,17.5,16.5,0.0,0.99
Implication L4L5+L5L6,0.95,0.02,100,20.0,12.5,16.0,1.5,0.95
Implication L4L5+L5L6,0.99,0.02,100,20.0,20.0,16.0,0.0,0.99
Unary ON/OFF,0.95,0.02,100,90.0,67.5,2.0,1.5,0.95
Unary ON/OFF,0.99,0.02,100,47.5,47.5,10.5,0.0,0.99
